epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.7256988286972046,0.4936079680919647,0.0010000000474974513,0.9334524869918823,0.09936908632516861,0.249504953622818,0.9091564416885376,0.5,0.7336796522140503,0.0,0.0
1,0.8930568099021912,0.4648980498313904,0.0010000000474974513,0.505257785320282,0.07692307978868484,0.015841584652662277,0.9091564416885376,0.5,0.6397240161895752,0.0,0.0
2,0.9065825343132019,0.5098890066146851,0.0010000000474974513,0.34281447529792786,0.0,0.0,0.9091564416885376,0.5,0.6366835236549377,0.0,0.0
3,0.9078449010848999,0.48583686351776123,0.0010000000474974513,0.2648487389087677,0.0,0.0,0.9091564416885376,0.5,0.6358637809753418,0.0,0.0
4,0.9082055687904358,0.498523086309433,0.0010000000474974513,0.21447573602199554,0.0,0.0,0.9091564416885376,0.5,0.5966513156890869,0.0,0.0
5,0.908746600151062,0.5155802369117737,0.0010000000474974513,0.17892760038375854,0.0,0.0,0.9091564416885376,0.5,0.5445426106452942,0.0,0.0
6,0.9082055687904358,0.5060384273529053,0.0010000000474974513,0.1543518304824829,0.0,0.0,0.9091564416885376,0.5,0.7061811685562134,0.0,0.0
7,0.9085662961006165,0.4748760461807251,0.0010000000474974513,0.13406895101070404,0.0,0.0,0.9091564416885376,0.5,0.6857781410217285,0.0,0.0
8,0.908746600151062,0.500251054763794,0.0010000000474974513,0.117179736495018,0.0,0.0,0.9091564416885376,0.5,0.6574239730834961,0.0,0.0
9,0.908746600151062,0.5050432682037354,0.0010000000474974513,0.10434994846582413,0.0,0.0,0.9091564416885376,0.5,0.7641675472259521,0.0,0.0
